코드값,코드값의미,비고
10,조적구조,
11,벽돌구조,2009년 12월 24일 개정
12,블럭구조,2009년 12월 24일 개정
13,석구조,2009년 12월 24일 개정
14,스틸하우스조,조적구조(주구조)의 스틸하우스조를 철골구조(주구조)의 스틸하우스조로 변경하기 위해 폐지함
17,보강콘크리트조,
19,기타조적구조,
20,콘크리트구조,
21,철근콘크리트구조,2009년 12월 24일 개정
22,프리케스트콘크리트구조,2009년 12월 24일 개정
23,철파이프조,
24,돌담 및 토담조,
25,목구조/조,"2009년 12월 24일 개정, 50 목구조 로 코드값변경되서 폐지"
26,라멘조,
27,석회 및 흙혼합 벽돌조,2009년 12월 24일 개정
29,기타콘크리트구조,
30,철골구조,2009년 12월 24일 개정
31,일반철골구조,
32,경량철골구조,2009년 12월 24일 개정
33,강파이프구조,
34,황토조,
35,연와조,
36,조석조,
37,스틸하우스조,철골구조의 스틸하우스조
39,기타강구조,
40,철골철근콘크리트구조,
41,철골콘크리트구조,2009년 12월 24일 개정
42,철골철근콘크리트구조,2009년 12월 24일 개정
43,경량철골조,
49,기타철골철근콘크리트구조,
50,목구조,2009년 12월 24일 개정
51,일반목구조,
52,통나무구조,2009년 12월 24일 개정
61,시멘트블럭조,
63,조립식판넬조,
72,흙벽돌조,
74,컨테이너조,
81,막구조,
99,기타구조,
