"행정구역(읍면동)별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(읍면동)별(1)",합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜자동차,이륜자동차,이륜자동차
"행정구역(읍면동)별(1)",소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
"합계",25978,297,25329,352,18572,116,18312,144,874,63,727,84,6425,110,6217,98,107,8,73,26,5326,71,5255
"울진읍",7950,234,7535,181,5921,100,5747,74,339,50,228,61,1648,77,1535,36,42,7,25,10,1075,51,1024
"평해읍",1419,-,1400,19,911,-,903,8,36,-,36,-,461,-,452,9,11,-,9,2,903,3,900
"북면",4102,2,4084,16,3201,1,3196,4,93,-,93,-,784,1,776,7,24,-,19,5,597,8,589
"금강송면",673,4,667,2,341,1,340,-,29,1,26,2,301,2,299,-,2,-,2,-,80,1,79
"근남면",1524,11,1505,8,1072,2,1067,3,44,1,42,1,404,7,394,3,4,1,2,1,357,-,357
"매화면",989,18,964,7,583,3,577,3,38,2,36,-,367,13,351,3,1,-,-,1,243,-,243
"기성면",1293,6,1284,3,802,1,801,-,40,2,38,-,451,3,445,3,-,-,-,-,216,-,216
"온정면",814,3,808,3,470,1,468,1,30,2,28,-,313,-,311,2,1,-,1,-,233,1,232
"죽변면",3351,2,3325,24,2577,-,2564,13,78,1,77,-,685,1,676,8,11,-,8,3,633,6,627
"후포면",3863,17,3757,89,2694,7,2649,38,147,4,123,20,1011,6,978,27,11,-,7,4,989,1,988
