CODE,NAME,RATIO
11110,서울 종로구,55.3
11140,서울 중구,58
11170,서울 용산구,62.7
11200,서울 성동구,59.5
11215,서울 광진구,59.6
11230,서울 동대문구,57
11260,서울 중랑구,58.1
11290,서울 성북구,55.1
11305,서울 강북구,54.5
11320,서울 도봉구,56.4
11350,서울 노원구,56.4
11380,서울 은평구,57.6
11410,서울 서대문구,56.1
11440,서울 마포구,61.8
11470,서울 양천구,58.7
11500,서울 강서구,60.6
11530,서울 구로구,60.4
11545,서울 금천구,61.8
11560,서울 영등포구,60.2
11590,서울 동작구,58.2
11620,서울 관악구,57.3
11650,서울 서초구,57.6
11680,서울 강남구,59.7
11710,서울 송파구,60.6
11740,서울 강동구,61.4
26110,부산 중구,51.7
26140,부산 서구,51.8
26170,부산 동구,50.9
26200,부산 영도구,47.2
26230,부산 부산진구,55.2
26260,부산 동래구,55.2
26290,부산 남구,51.9
26320,부산 북구,53.4
26350,부산 해운대구,53.7
26380,부산 사하구,55.7
26410,부산 금정구,51.5
26440,부산 강서구,65.8
26470,부산 연제구,54.5
26500,부산 수영구,54.4
26530,부산 사상구,57.3
26710,부산 기장군,60.3
27110,대구 중구,57.3
27140,대구 동구,55.8
27170,대구 서구,53.3
27200,대구 남구,50.5
27230,대구 북구,55.4
27260,대구 수성구,54.6
27290,대구 달서구,56.6
27710,대구 달성군,61.9
28110,인천 중구,62.9
28140,인천 동구,60.5
28177,인천 연수구,60.6
28185,인천 남동구,60.5
28200,인천 부평구,60.8
28237,인천 계양구,62.3
28245,인천 서구,64.6
28260,인천 미추홀구,60.4
28710,인천 강화군,66.9
28720,인천 옹진군,79.5
29110,광주 동구,57.7
29140,광주 서구,61.3
29155,광주 남구,59.2
29170,광주 북구,56.6
29200,광주 광산구,62.6
30110,대전 동구,53.2
30140,대전 중구,58.8
30170,대전 서구,60.8
30200,대전 유성구,62.4
30230,대전 대덕구,57.2
31110,울산 중구,56.4
31140,울산 남구,58.1
31170,울산 동구,56.5
31200,울산 북구,61.3
31710,울산 울주군,59.2
36110,세종시,65.4
41110,수원시,60.7
41130,성남시,62.2
41150,의정부시,58
41170,안양시,61.7
41190,부천시,61.5
41210,광명시,59.4
41220,평택시,62.8
41250,동두천시,54.6
41270,안산시,62
41280,고양시,60.1
41290,과천시,56.6
41310,구리시,61.5
41360,남양주시,56.9
41370,오산시,65.7
41390,시흥시,64
41410,군포시,60.5
41430,의왕시,60.7
41450,하남시,63
41460,용인시,58.3
41480,파주시,61.4
41500,이천시,68
41550,안성시,65
41570,김포시,60.1
41590,화성시,67.2
41610,광주시,63.4
41630,양주시,58.1
41650,포천시,63.5
41670,여주시,64.2
41800,연천군,63.4
41820,가평군,62.1
41830,양평군,60.9
42110,춘천시,59.4
42130,원주시,61.8
42150,강릉시,60.3
42170,동해시,60.8
42190,태백시,62
42210,속초시,62.9
42230,삼척시,60
42720,홍천군,71.1
42730,횡성군,66.7
42750,영월군,67.1
42760,평창군,71.4
42770,정선군,69.2
42780,철원군,65.5
42790,화천군,70.1
42800,양구군,71.8
42810,인제군,73.1
42820,고성군,67.9
42830,양양군,69.2
43110,청주시,62.5
43130,충주시,62.9
43150,제천시,61
43720,보은군,70.1
43730,옥천군,64.3
43740,영동군,65.1
43745,진천군,72.4
43750,괴산군,70.2
43760,음성군,71
43770,단양군,64.9
43800,증평군,66.7
44130,천안시,64.5
44150,공주시,63.4
44180,보령시,64.5
44200,아산시,63.6
44210,서산시,67.8
44230,논산시,63.5
44250,계룡시,59.4
44270,당진시,70.1
44710,금산군,67
44760,부여군,67.4
44770,서천군,67.8
44790,청양군,79
44800,홍성군,65.7
44810,예산군,66
44825,태안군,71.1
45110,전주시,59.6
45130,군산시,57.1
45140,익산시,57.8
45180,정읍시,65.1
45190,남원시,68.4
45210,김제시,64.5
45710,완주군,63.1
45720,진안군,71.7
45730,무주군,74.9
45740,장수군,79.7
45750,임실군,72
45770,순창군,70.2
45790,고창군,68
45800,부안군,70.4
46110,목포시,58.2
46130,여수시,63.6
46150,순천시,63.7
46170,나주시,68.6
46230,광양시,66.8
46710,담양군,66.1
46720,곡성군,68.4
46730,구례군,70.1
46770,고흥군,75.6
46780,보성군,72.1
46790,화순군,64.8
46800,장흥군,72.5
46810,강진군,70.7
46820,해남군,74
46830,영암군,70.1
46840,무안군,60.8
46860,함평군,69.9
46870,영광군,69.2
46880,장성군,68.9
46890,완도군,67.4
46900,진도군,73.5
46910,신안군,78.1
47110,포항시,60.2
47130,경주시,62
47150,김천시,64.2
47170,안동시,62.2
47190,구미시,63.2
47210,영주시,59.1
47230,영천시,67.1
47250,상주시,66.5
47280,문경시,63
47290,경산시,59.6
47720,군위군,74.5
47730,의성군,71.6
47750,청송군,77.9
47760,영양군,72.5
47770,영덕군,63.2
47820,청도군,70.5
47830,고령군,69.6
47840,성주군,69.7
47850,칠곡군,62.4
47900,예천군,69.1
47920,봉화군,73.5
47930,울진군,64
47940,울릉군,83.8
48120,진주시,59.3
48170,통영시,58.5
48220,사천시,64.9
48240,김해시,62.3
48250,밀양시,61.6
48270,거제시,60.1
48310,양산시,59
48330,창원시,61.5
48720,의령군,69.2
48730,함안군,63.9
48740,창녕군,67.4
48820,고성군,68.3
48840,남해군,67.2
48850,하동군,71.8
48860,산청군,73.5
48870,함양군,68.3
48880,거창군,67.6
48890,합천군,67.1
50110,제주시,67.5
50130,서귀포시,72.6
